,Incident.year,Victim.injury,State,Latitude,Longitude,Shark.common.name,Shark.scientific.name,Provoked/unprovoked,Site.category,Incident.month
0,1791,fatal,NSW,-33.86666667,151.2,white shark,Carcharodon carcharias ,unprovoked,coastal,1
1,1803,injured,WA,-25.83333333,113.8833333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,3
2,1807,injured,NSW,-33.86666667,151.2,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,1
3,1820,fatal,TAS,-42.8,147.5333333,unknown,unknown,provoked,coastal,1
4,1825,injured,NSW,-33.85,151.2166667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,1
5,1830,injured,TAS,-43.28333333,147.3333333,white shark,Carcharodon carcharias ,unprovoked,island open ocean,1
6,1832,injured,NSW,-33.86666667,151.1833333,bull shark,Carcharhinus leucas,provoked,estuary/harbour,1
7,1832,injured,NSW,-33.83333333,151.2666667,white shark,Carcharodon carcharias ,provoked,coastal,6
8,1836,injured,SA,-34.95,138.5,white shark,Carcharodon carcharias ,unprovoked,coastal,1
9,1836,fatal,QLD,-25.48333333,152.9833333,whaler shark,Carcharhinidae,unprovoked,coastal,8
10,1836,fatal,QLD,-25.48333333,152.9833333,whaler shark,Carcharhinidae,unprovoked,coastal,8
11,1837,fatal,NSW,-30.93333333,153.0166667,bull shark,Carcharhinus leucas,unprovoked,river,1
12,1839,fatal,VIC,-38.98333333,146.45,white shark,Carcharodon carcharias ,provoked,coastal,8
13,1840,fatal,NSW,-33.85,151.2166667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
14,1841,fatal,NSW,-33.83333333,151.1666667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,4
15,1847,injured,QLD,-27.25,153.25,bull shark,Carcharhinus leucas,unprovoked,coastal,3
16,1847,injured,QLD,-27.43333333,153.0833333,bull shark,Carcharhinus leucas,unprovoked,river,11
17,1849,fatal,WA,-33.36666667,115.2833333,white shark,Carcharodon carcharias ,provoked,ocean/pelagic,1
18,1849,injured,VIC,-38.33333333,141.6,white shark,Carcharodon carcharias ,unprovoked,coastal,12
19,1849,fatal,NSW,-33.81666667,151.2,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
20,1850,fatal,QLD,-27.28333333,153.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
21,1850,injured,NSW,-29.41666667,153.3333333,whaler shark,Carcharhinidae,unprovoked,coastal,3
22,1853,injured,NSW,-33.85,151.2166667,wobbegong,Orectolobidae,provoked,estuary/harbour,11
23,1855,injured,QLD,-25.5,152.7166667,bull shark,Carcharhinus leucas,unprovoked,river,1
